,count,mean,std,min,25%,50%,75%,max,CV
R_th,74.0,183.3288395353497,1576.3798779408462,0.0019459649603738238,0.011034829980197485,0.022467570627262422,0.06845093825605955,13560.610703462271,8.598646464659906
Nu,74.0,15.285047174812226,40.74442537077517,1.1295348639671175e-07,0.7697254552445717,3.2202190253008602,8.605243718957617,288.1855424020179,2.6656394909865915
f_friction,74.0,1.6576004047005333,1.1790084539557595,0.23868047431194234,0.843938243870984,1.3255158537696918,2.0064289015161667,5.353210590214058,0.711274231480446
P_pump,74.0,16.466864947487313,16.93021884067617,0.00024962098321146264,3.0981783964361966,8.520197722215624,26.332915194578163,76.00931830044524,1.0281385615698835
COP,74.0,731.662845279822,4587.571855404916,4.915773908895779,40.2448146673585,83.02954557577156,147.35670568995218,39551.275230267354,6.270062618323072
Q_vol,74.0,307.86172019530443,244.35985652780323,0.005373523570597172,123.4040355682373,252.9290542602539,408.58792877197266,1285.85595703125,0.7937325120277472
T_max_surface,74.0,40434.73917314169,347434.6620139809,31.311134338378906,37.086052894592285,43.946455001831055,51.38194561004639,2988792.25,8.59247936597945
T_avg_surface,74.0,52.25372007730845,113.3212290905519,27.493534088134766,32.268062591552734,35.77113723754883,43.255470275878906,1009.9094848632812,2.168672946593907
delta_T_max,74.0,76427.63436711801,657310.9934312518,4.908853530883789,9.477722644805908,14.725286483764648,20.816338062286377,5654419.75,8.600436201830831
sigma_T,74.0,807.0310943352209,6910.103612454675,0.7207300066947937,1.818632036447525,3.0281323194503784,4.941176056861877,59446.703125,8.562375924494898
fluid_temp_rise,74.0,28.397510940964157,232.23403363070352,-13.552877426147461,-4.15506649017334,0.562469482421875,3.8777408599853516,1997.4020881652832,8.177971446634489
